,pct,crime,year,count,crime_category,pct_2
93,23,ROBBERY                               ,2000,453.0,major,
94,23,FELONY ASSAULT                        ,2000,419.0,major,
95,23,BURGLARY                              ,2000,219.0,major,
96,23,GRAND LARCENY                         ,2000,236.0,major,
97,23,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,155.0,major,
98,24,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,3.0,major,
99,24,RAPE                                  ,2000,14.0,major,
100,24,ROBBERY                               ,2000,372.0,major,
101,24,FELONY ASSAULT                        ,2000,199.0,major,
102,24,BURGLARY                              ,2000,242.0,major,
103,24,GRAND LARCENY                         ,2000,483.0,major,
104,24,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,241.0,major,
105,25,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,10.0,major,
106,25,RAPE                                  ,2000,21.0,major,
107,25,ROBBERY                               ,2000,314.0,major,
108,25,FELONY ASSAULT                        ,2000,351.0,major,
109,25,BURGLARY                              ,2000,156.0,major,
110,25,GRAND LARCENY                         ,2000,176.0,major,
111,25,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,123.0,major,
112,26,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,4.0,major,
113,26,RAPE                                  ,2000,6.0,major,
114,26,ROBBERY                               ,2000,225.0,major,
115,26,FELONY ASSAULT                        ,2000,159.0,major,
116,26,BURGLARY                              ,2000,201.0,major,
117,26,GRAND LARCENY                         ,2000,380.0,major,
118,26,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,117.0,major,
119,28,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,5.0,major,
120,28,RAPE                                  ,2000,24.0,major,
121,28,ROBBERY                               ,2000,315.0,major,
122,28,FELONY ASSAULT                        ,2000,314.0,major,
123,28,BURGLARY                              ,2000,210.0,major,
124,28,GRAND LARCENY                         ,2000,252.0,major,
125,28,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,77.0,major,
126,30,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,9.0,major,
127,30,RAPE                                  ,2000,27.0,major,
128,30,ROBBERY                               ,2000,394.0,major,
129,30,FELONY ASSAULT                        ,2000,353.0,major,
130,30,BURGLARY                              ,2000,344.0,major,
131,30,GRAND LARCENY                         ,2000,189.0,major,
132,30,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,167.0,major,
133,32,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,17.0,major,
134,32,RAPE                                  ,2000,45.0,major,
135,32,ROBBERY                               ,2000,432.0,major,
136,32,FELONY ASSAULT                        ,2000,510.0,major,
137,32,BURGLARY                              ,2000,292.0,major,
138,32,GRAND LARCENY                         ,2000,253.0,major,
139,32,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,148.0,major,
140,33,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,12.0,major,
141,33,RAPE                                  ,2000,19.0,major,
142,33,ROBBERY                               ,2000,295.0,major,
143,33,FELONY ASSAULT                        ,2000,302.0,major,
144,33,BURGLARY                              ,2000,295.0,major,
145,33,GRAND LARCENY                         ,2000,185.0,major,
146,33,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,201.0,major,
147,34,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,8.0,major,
148,34,RAPE                                  ,2000,40.0,major,
149,34,ROBBERY                               ,2000,357.0,major,
150,34,FELONY ASSAULT                        ,2000,275.0,major,
151,34,BURGLARY                              ,2000,610.0,major,
152,34,GRAND LARCENY                         ,2000,299.0,major,
153,34,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,388.0,major,
154,40,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,13.0,major,
155,40,RAPE                                  ,2000,36.0,major,
156,40,ROBBERY                               ,2000,611.0,major,
157,40,FELONY ASSAULT                        ,2000,592.0,major,
158,40,BURGLARY                              ,2000,465.0,major,
159,40,GRAND LARCENY                         ,2000,413.0,major,
160,40,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,319.0,major,
161,41,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,5.0,major,
162,41,RAPE                                  ,2000,34.0,major,
163,41,ROBBERY                               ,2000,287.0,major,
164,41,FELONY ASSAULT                        ,2000,716.0,major,
165,41,BURGLARY                              ,2000,392.0,major,
166,41,GRAND LARCENY                         ,2000,184.0,major,
167,41,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,216.0,major,
168,42,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,12.0,major,
169,42,RAPE                                  ,2000,40.0,major,
170,42,ROBBERY                               ,2000,424.0,major,
171,42,FELONY ASSAULT                        ,2000,491.0,major,
172,42,BURGLARY                              ,2000,412.0,major,
173,42,GRAND LARCENY                         ,2000,207.0,major,
174,42,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,252.0,major,
175,43,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,16.0,major,
176,43,RAPE                                  ,2000,67.0,major,
177,43,ROBBERY                               ,2000,730.0,major,
178,43,FELONY ASSAULT                        ,2000,639.0,major,
179,43,BURGLARY                              ,2000,767.0,major,
180,43,GRAND LARCENY                         ,2000,514.0,major,
181,43,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,843.0,major,
182,44,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,25.0,major,
183,44,RAPE                                  ,2000,62.0,major,
184,44,ROBBERY                               ,2000,866.0,major,
185,44,FELONY ASSAULT                        ,2000,789.0,major,
186,44,BURGLARY                              ,2000,829.0,major,
187,44,GRAND LARCENY                         ,2000,534.0,major,
188,44,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,580.0,major,
189,45,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,7.0,major,
190,45,RAPE                                  ,2000,22.0,major,
191,45,ROBBERY                               ,2000,224.0,major,
192,45,FELONY ASSAULT                        ,2000,206.0,major,
193,45,BURGLARY                              ,2000,381.0,major,
194,45,GRAND LARCENY                         ,2000,412.0,major,
195,45,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,783.0,major,
196,46,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,23.0,major,
197,46,RAPE                                  ,2000,48.0,major,
198,46,ROBBERY                               ,2000,666.0,major,
199,46,FELONY ASSAULT                        ,2000,641.0,major,
200,46,BURGLARY                              ,2000,821.0,major,
