,dbn,score,year
2891,04M435,0.8512024,2019-2020
2892,04M435,0.85871744,2020-2021
2893,04M435,0.86623245,2021-2022
2894,04M435,0.87374747,2022-2023
2895,04M435,0.9719439,2023-2024
2896,04M495,0.6257,2006-2007
2897,04M495,0.68,2007-2008
2898,04M495,0.784,2008-2009
2899,04M495,0.826,2009-2010
2900,04M495,0.675,2011-2012
2901,04M495,0.69,2012-2013
2902,04M495,0.7995992,2014-2015
2903,04M495,0.9158317,2015-2016
2904,04M495,0.9218437,2016-2017
2905,04M495,0.88777554,2017-2018
2906,04M495,0.9539078,2018-2019
2907,04M495,0.93887776,2019-2020
2908,04M495,0.9238477,2020-2021
2909,04M495,0.90881765,2021-2022
2910,04M495,0.89378756,2022-2023
2911,04M495,0.96392787,2023-2024
2912,04M497,0.799,2008-2009
2913,04M497,0.217,2009-2010
2914,04M497,0.313,2010-2011
2915,04M497,0.475,2011-2012
2916,04M497,0.492,2012-2013
2917,04M497,0.48897797,2014-2015
2918,04M497,0.501002,2015-2016
2919,04M497,0.28256512,2016-2017
2920,04M497,,2017-2018
2921,04M497,0.5230461,2018-2019
2922,04M497,0.52955914,2019-2020
2923,04M497,0.53607213,2020-2021
2924,04M497,0.5425852,2021-2022
2925,04M497,0.5490982,2022-2023
2926,04M497,0.4749499,2023-2024
2927,04M555,0.4902,2006-2007
2928,04M555,0.642,2007-2008
2929,04M555,0.867,2008-2009
2930,04M555,0.723,2009-2010
2931,04M555,0.762,2011-2012
2932,04M555,0.824,2012-2013
2933,04M555,0.8657315,2014-2015
2934,04M555,0.9018036,2015-2016
2935,04M555,0.90380764,2016-2017
2936,04M555,0.8917836,2017-2018
2937,04M555,0.8817635,2018-2019
2938,04M555,0.89028054,2019-2020
2939,04M555,0.8987976,2020-2021
2940,04M555,0.90731466,2021-2022
2941,04M555,0.9158317,2022-2023
2942,04M555,0.96192384,2023-2024
2943,04M610,0.5107,2006-2007
2944,04M610,0.7005,2006-2007
2945,04M610,0.475,2007-2008
2946,04M610,0.672,2007-2008
2947,04M610,0.786,2008-2009
2948,04M610,0.704,2009-2010
2949,04M610,0.801,2011-2012
2950,04M610,0.841,2012-2013
2951,04M610,0.63126254,2014-2015
2952,04M610,0.8496994,2014-2015
2953,04M610,0.70541084,2015-2016
2954,04M610,0.89378756,2015-2016
2955,04M610,0.68136275,2016-2017
2956,04M610,0.9198397,2016-2017
2957,04M610,0.749499,2017-2018
2958,04M610,0.94188374,2017-2018
2959,04M610,0.83767533,2018-2019
2960,04M610,0.91783565,2018-2019
2961,04M610,0.91783565,2019-2020
2962,04M610,0.91783565,2020-2021
2963,04M610,0.91783565,2021-2022
2964,04M635,0.2161,2006-2007
2965,04M635,0.3932,2006-2007
2966,04M635,,2007-2008
2967,04M635,0.348,2007-2008
2968,04M635,0.416,2008-2009
2969,04M635,0.327,2009-2010
2970,04M635,,2011-2012
2971,04M635,,2012-2013
2972,04M635,0.327,2019-2020
2973,04M635,0.327,2020-2021
2974,04M635,0.327,2021-2022
2975,04M680,0.6983,2006-2007
2976,04M680,0.826,2007-2008
2977,04M680,0.748,2008-2009
2978,04M680,0.507,2009-2010
2979,04M680,0.572,2011-2012
2980,04M680,0.524,2012-2013
2981,04M680,0.54108214,2014-2015
2982,04M680,0.5490982,2015-2016
2983,04M680,0.56112224,2016-2017
2984,04M680,0.6292585,2017-2018
2985,04M680,0.6973948,2018-2019
2986,04M680,0.67885774,2019-2020
2987,04M680,0.66032064,2020-2021
2988,04M680,0.6417836,2021-2022
2989,04M680,0.6232465,2022-2023
2990,04M680,0.60721445,2023-2024
2991,04M695,,2007-2008
2992,04M695,,2008-2009
2993,04M695,,2009-2010
2994,04M695,,2019-2020
2995,04M695,,2020-2021
2996,04M695,,2021-2022
2997,04M825,0.321,2006-2007
2998,04M825,0.668,2007-2008
2999,04M825,0.60721445,2014-2015
3000,04M825,0.6092184,2015-2016
3001,04M825,0.78957915,2016-2017
3002,04M825,0.8857716,2017-2018
3003,04M825,0.9018036,2018-2019
3004,04M825,0.8451904,2019-2020
3005,04M825,0.78857714,2020-2021
3006,04M825,0.73196393,2021-2022
3007,04M825,0.6753507,2022-2023
3008,04M825,0.5390782,2023-2024
3009,04M964,0.769,2008-2009
3010,04M964,0.407,2009-2010
3011,04M964,0.65,2010-2011
3012,04M964,0.446,2011-2012
3013,04M964,0.753,2012-2013
3014,04M964,0.61523044,2014-2015
3015,04M964,0.82965934,2015-2016
3016,04M964,0.51102203,2016-2017
3017,04M964,0.48496994,2017-2018
3018,04M964,0.45490983,2018-2019
3019,04M964,0.48697394,2019-2020
3020,04M964,0.5190381,2020-2021
3021,04M964,0.5511022,2021-2022
3022,04M964,0.58316636,2022-2023
3023,04M964,0.4248497,2023-2024
3024,05M030,0.816,2008-2009
3025,05M030,0.623,2009-2010
3026,05M030,0.195,2010-2011
3027,05M030,0.495,2011-2012
3028,05M030,0.601,2012-2013
3029,05M030,0.58717436,2014-2015
3030,05M030,0.63527054,2015-2016
3031,05M030,0.62124246,2016-2017
3032,05M030,0.86773545,2017-2018
3033,05M030,0.5891784,2018-2019
3034,05M030,0.62875754,2019-2020
3035,05M030,0.6683367,2020-2021
3036,05M030,0.70791584,2021-2022
3037,05M030,0.747495,2022-2023
3038,05M030,0.6873748,2023-2024
3039,05M036,0.348,2010-2011
3040,05M036,0.459,2011-2012
3041,05M036,0.395,2012-2013
3042,05M036,0.5450902,2014-2015
3043,05M036,0.5751503,2015-2016
3044,05M036,0.6232465,2016-2017
3045,05M036,0.73146296,2017-2018
3046,05M036,0.5971944,2018-2019
3047,05M036,0.5906814,2019-2020
3048,05M036,0.5841683,2020-2021
3049,05M036,0.5776553,2021-2022
3050,05M036,0.57114226,2022-2023
3051,05M036,0.57715434,2023-2024
3052,05M046,0.797,2008-2009
3053,05M046,0.323,2009-2010
3054,05M046,0.57715434,2014-2015
3055,05M046,0.43486974,2015-2016
3056,05M046,0.39679357,2016-2017
3057,05M046,0.6192385,2017-2018
3058,05M046,0.44088176,2018-2019
3059,05M046,0.4704409,2019-2020
3060,05M046,0.5,2020-2021
3061,05M046,0.52955914,2021-2022
3062,05M046,0.5591182,2022-2023
3063,05M046,0.66132265,2023-2024
3064,05M092,0.652,2008-2009
3065,05M092,0.421,2009-2010
3066,05M092,0.429,2010-2011
3067,05M092,0.53,2011-2012
3068,05M092,0.495,2012-2013
3069,05M092,0.52705413,2014-2015
3070,05M092,0.8456914,2015-2016
3071,05M092,0.9699399,2016-2017
3072,05M092,0.6132265,2017-2018
3073,05M092,0.7975952,2018-2019
3074,05M092,0.756012,2019-2020
3075,05M092,0.71442884,2020-2021
3076,05M092,0.67284566,2021-2022
3077,05M092,0.63126254,2022-2023
3078,05M092,0.6032064,2023-2024
3079,05M123,0.83,2008-2009
3080,05M123,0.49098197,2014-2015
3081,05M123,0.5531062,2015-2016
3082,05M123,0.52705413,2016-2017
3083,05M123,0.61723447,2017-2018
3084,05M123,0.4288577,2018-2019
3085,05M123,0.43286574,2019-2020
3086,05M123,0.43687373,2020-2021
3087,05M123,0.44088176,2021-2022
3088,05M123,0.44488978,2022-2023
3089,05M123,0.4509018,2023-2024
3090,05M125,0.84,2008-2009
3091,05M125,0.426,2009-2010
3092,05M125,0.316,2010-2011
3093,05M125,0.469,2011-2012
3094,05M125,0.879,2012-2013
3095,05M125,0.9699399,2014-2015
3096,05M125,0.96192384,2015-2016
3097,05M125,0.8997996,2016-2017
3098,05M125,0.5551102,2017-2018
3099,05M125,0.8657315,2018-2019
3100,05M125,0.8507014,2019-2020
3101,05M125,0.83567137,2020-2021
3102,05M125,0.8206413,2021-2022
3103,05M125,0.8056112,2022-2023
3104,05M125,0.7995992,2023-2024
3105,05M129,0.732,2008-2009
3106,05M129,0.6973948,2014-2015
3107,05M129,0.5450902,2015-2016
3108,05M129,0.45891783,2016-2017
3109,05M129,0.6693387,2017-2018
3110,05M129,0.5731463,2018-2019
3111,05M129,0.5495992,2019-2020
3112,05M129,0.5260521,2020-2021
3113,05M129,0.502505,2021-2022
3114,05M129,0.47895792,2022-2023
3115,05M129,0.4228457,2023-2024
3116,05M133,0.825,2008-2009
3117,05M133,0.332,2009-2010
3118,05M133,0.315,2010-2011
3119,05M133,0.238,2011-2012
3120,05M133,0.354,2012-2013
3121,05M133,0.70541084,2014-2015
3122,05M133,0.68937874,2015-2016
3123,05M133,0.50901806,2016-2017
3124,05M133,0.51302606,2017-2018
3125,05M133,0.65731466,2018-2019
3126,05M133,0.69388777,2019-2020
3127,05M133,0.73046094,2020-2021
3128,05M133,0.76703405,2021-2022
3129,05M133,0.8036072,2022-2023
3130,05M133,0.83366734,2023-2024
3131,05M148,0.53707415,2014-2015
3132,05M148,0.64128256,2015-2016
3133,05M148,0.45891783,2016-2017
3134,05M148,,2016-2017
3135,05M148,0.4208417,2017-2018
3136,05M148,0.3987976,2017-2018
3137,05M148,0.39278558,2018-2019
3138,05M148,0.35871744,2018-2019
3139,05M148,0.38677356,2019-2020
3140,05M148,0.41482967,2020-2021
3141,05M148,0.4428858,2021-2022
3142,05M148,0.47094187,2022-2023
3143,05M148,0.69539076,2022-2023
3144,05M148,0.6032064,2023-2024
3145,05M148,0.51302606,2023-2024
3146,05M154,0.932,2008-2009
3147,05M154,0.351,2009-2010
3148,05M154,0.256,2010-2011
3149,05M154,0.467,2011-2012
3150,05M154,0.558,2012-2013
3151,05M154,0.56713426,2014-2015
3152,05M154,0.61723447,2015-2016
3153,05M154,0.6633267,2016-2017
3154,05M154,0.4308617,2017-2018
3155,05M154,0.7074148,2018-2019
3156,05M154,0.6883767,2019-2020
3157,05M154,0.6693387,2020-2021
3158,05M154,0.6503006,2021-2022
3159,05M154,0.63126254,2022-2023
3160,05M154,0.49098197,2023-2024
3161,05M157,,2014-2015
3162,05M157,,2015-2016
3163,05M157,0.4749499,2016-2017
3164,05M157,0.3987976,2017-2018
3165,05M157,0.58316636,2018-2019
3166,05M157,0.57965934,2019-2020
3167,05M157,0.5761523,2020-2021
3168,05M157,0.5726453,2021-2022
3169,05M157,0.5691383,2022-2023
3170,05M157,0.4529058,2023-2024
3171,05M161,0.902,2008-2009
3172,05M161,0.6232465,2014-2015
3173,05M161,0.7294589,2015-2016
3174,05M161,0.6092184,2016-2017
3175,05M161,0.56713426,2017-2018
3176,05M161,0.5150301,2018-2019
3177,05M161,0.5225451,2019-2020
3178,05M161,0.5300601,2020-2021
3179,05M161,0.5375751,2021-2022
3180,05M161,0.5450902,2022-2023
3181,05M161,0.5450902,2023-2024
3182,05M172,,2007-2008
3183,05M172,,2019-2020
3184,05M172,,2020-2021
3185,05M172,,2021-2022
3186,05M175,0.456,2008-2009
3187,05M175,0.529,2009-2010
3188,05M175,0.444,2010-2011
3189,05M175,0.362,2011-2012
3190,05M175,0.465,2012-2013
3191,05M175,0.5991984,2014-2015
3192,05M175,0.7294589,2015-2016
3193,05M175,0.6973948,2016-2017
3194,05M175,0.6673347,2017-2018
3195,05M175,0.78557116,2018-2019
3196,05M175,0.74298596,2019-2020
3197,05M175,0.7004008,2020-2021
3198,05M175,0.65781564,2021-2022
3199,05M175,0.61523044,2022-2023
3200,05M175,0.50501,2023-2024
3201,05M194,0.723,2008-2009
3202,05M194,0.354,2009-2010
3203,05M194,0.195,2010-2011
3204,05M194,0.518,2011-2012
3205,05M194,0.282,2012-2013
3206,05M194,0.498998,2014-2015
3207,05M194,0.38476953,2015-2016
3208,05M194,0.41482967,2016-2017
3209,05M194,0.5731463,2017-2018
3210,05M194,0.29058117,2018-2019
3211,05M194,0.33316633,2019-2020
3212,05M194,0.3757515,2020-2021
3213,05M194,0.41833666,2021-2022
3214,05M194,0.46092185,2022-2023
3215,05M194,0.46092185,2023-2024
3216,05M195,0.4986,2006-2007
3217,05M195,0.508,2007-2008
3218,05M195,0.508,2019-2020
3219,05M195,0.508,2020-2021
3220,05M195,0.508,2021-2022
3221,05M197,0.916,2008-2009
3222,05M197,0.566,2009-2010
3223,05M197,0.119,2010-2011
3224,05M197,0.281,2011-2012
3225,05M197,0.425,2012-2013
3226,05M197,0.71943885,2014-2015
3227,05M197,0.7294589,2015-2016
3228,05M197,0.36272544,2016-2017
3229,05M197,0.5250501,2017-2018
3230,05M197,0.43486974,2018-2019
3231,05M197,0.45490983,2019-2020
3232,05M197,0.4749499,2020-2021
3233,05M197,0.49499,2021-2022
3234,05M197,0.5150301,2022-2023
3235,05M197,0.50901806,2023-2024
3236,05M200,0.71,2008-2009
3237,05M200,0.435,2009-2010
3238,05M200,0.288,2010-2011
3239,05M200,0.292,2011-2012
3240,05M200,0.304,2012-2013
3241,05M200,0.56312627,2014-2015
3242,05M200,0.4749499,2015-2016
3243,05M200,0.44088176,2016-2017
3244,05M200,0.7755511,2017-2018
3245,05M200,0.7014028,2018-2019
3246,05M200,0.65781564,2019-2020
3247,05M200,0.6142284,2020-2021
3248,05M200,0.5706413,2021-2022
3249,05M200,0.52705413,2022-2023
3250,05M200,0.498998,2023-2024
3251,05M283,0.278,2007-2008
3252,05M283,0.278,2019-2020
3253,05M283,0.278,2020-2021
3254,05M283,0.278,2021-2022
3255,05M286,0.0989,2006-2007
3256,05M286,0.56,2007-2008
3257,05M286,0.38076153,2014-2015
3258,05M286,0.41883767,2015-2016
3259,05M286,0.47094187,2016-2017
3260,05M286,0.51703405,2017-2018
3261,05M286,0.5210421,2018-2019
3262,05M286,0.57965934,2019-2020
3263,05M286,0.6382766,2020-2021
3264,05M286,0.6968938,2021-2022
3265,05M286,0.75551105,2022-2023
3266,05M286,0.68537074,2023-2024
3267,05M302,0.8348,2006-2007
3268,05M302,0.592,2007-2008
3269,05M302,0.5350701,2014-2015
3270,05M302,0.48897797,2015-2016
3271,05M302,0.3787575,2016-2017
3272,05M302,,2017-2018
3273,05M302,0.3787575,2019-2020
3274,05M302,0.3787575,2020-2021
3275,05M302,0.3787575,2021-2022
3276,05M304,0.511,2007-2008
3277,05M304,0.516,2008-2009
3278,05M304,0.655,2009-2010
3279,05M304,0.522,2011-2012
3280,05M304,0.524,2012-2013
3281,05M304,0.58116233,2014-2015
3282,05M304,0.57715434,2015-2016
3283,05M304,0.46092185,2016-2017
3284,05M304,0.5290581,2017-2018
3285,05M304,0.5310621,2018-2019
3286,05M304,0.56212425,2019-2020
3287,05M304,0.5931864,2020-2021
3288,05M304,0.6242485,2021-2022
3289,05M304,0.65531063,2022-2023
3290,05M304,0.59118235,2023-2024
3291,05M317,0.5065,2006-2007
3292,05M317,0.401,2007-2008
3293,05M317,0.401,2019-2020
3294,05M317,0.401,2020-2021
3295,05M317,0.401,2021-2022
3296,05M318,0.584,2008-2009
3297,05M318,0.32,2009-2010
3298,05M318,0.528,2010-2011
3299,05M318,0.37,2011-2012
3300,05M318,0.614,2012-2013
3301,05M318,0.58316636,2014-2015
3302,05M318,0.743487,2015-2016
3303,05M318,0.5150301,2016-2017
3304,05M318,0.48496994,2017-2018
3305,05M318,0.53707415,2018-2019
3306,05M318,0.55210423,2019-2020
3307,05M318,0.56713426,2020-2021
3308,05M318,0.58216435,2021-2022
3309,05M318,0.5971944,2022-2023
3310,05M318,0.5991984,2023-2024
3311,05M344,0.434,2007-2008
3312,05M344,0.434,2019-2020
3313,05M344,0.434,2020-2021
3314,05M344,0.434,2021-2022
3315,05M362,,2007-2008
3316,05M362,,2011-2012
3317,05M362,,2012-2013
3318,05M362,0.82965934,2014-2015
3319,05M362,0.8416834,2014-2015
3320,05M362,0.9218437,2015-2016
3321,05M362,0.8476954,2015-2016
3322,05M362,0.87374747,2016-2017
3323,05M362,0.8156313,2016-2017
3324,05M362,0.8797595,2017-2018
3325,05M362,0.8056112,2017-2018
3326,05M362,0.9298597,2018-2019
3327,05M362,0.8697395,2018-2019
3328,05M362,0.8682365,2019-2020
3329,05M362,0.8667335,2020-2021
3330,05M362,0.86523044,2021-2022
3331,05M362,0.86372745,2022-2023
3332,05M362,0.9498998,2022-2023
3333,05M362,0.91382766,2023-2024
3334,05M362,0.91182363,2023-2024
3335,05M367,,2007-2008
3336,05M367,,2007-2008
3337,05M367,,2008-2009
3338,05M367,,2009-2010
3339,05M367,0.196,2011-2012
3340,05M367,0.3,2012-2013
3341,05M367,,2014-2015
3342,05M367,0.5150301,2014-2015
3343,05M367,0.41082165,2015-2016
3344,05M367,0.4208417,2016-2017
3345,05M367,,2017-2018
3346,05M367,0.4208417,2019-2020
3347,05M367,0.4208417,2020-2021
3348,05M367,0.4208417,2021-2022
3349,05M369,,2007-2008
3350,05M369,,2008-2009
3351,05M369,0.709,2009-2010
3352,05M369,0.492,2011-2012
3353,05M369,0.522,2012-2013
3354,05M369,0.65731466,2014-2015
3355,05M369,0.69138277,2015-2016
3356,05M369,0.65731466,2016-2017
3357,05M369,0.6292585,2017-2018
3358,05M369,0.6092184,2018-2019
3359,05M369,0.60871744,2019-2020
3360,05M369,0.6082164,2020-2021
3361,05M369,0.6077154,2021-2022
3362,05M369,0.60721445,2022-2023
3363,05M369,0.5190381,2023-2024
3364,05M371,,2019-2020
3365,05M371,,2020-2021
3366,05M371,,2021-2022
3367,05M371,0.3787575,2022-2023
3368,05M371,0.40681362,2023-2024
3369,05M410,0.59118235,2014-2015
3370,05M410,,2015-2016
3371,05M410,0.59118235,2019-2020
3372,05M410,0.59118235,2020-2021
3373,05M410,0.59118235,2021-2022
3374,05M469,0.4683,2006-2007
3375,05M469,0.3168,2006-2007
3376,05M469,0.559,2007-2008
3377,05M469,0.343,2007-2008
3378,05M469,0.391,2008-2009
3379,05M469,0.625,2009-2010
3380,05M469,0.287,2011-2012
3381,05M469,,2012-2013
3382,05M469,,2014-2015
3383,05M469,,2014-2015
3384,05M469,,2015-2016
3385,05M469,0.287,2019-2020
3386,05M469,0.287,2020-2021
3387,05M469,0.287,2021-2022
3388,05M499,0.6795,2006-2007
3389,05M499,0.5949,2006-2007
3390,05M499,0.413,2007-2008
3391,05M499,0.464,2007-2008
3392,05M499,0.519,2008-2009
3393,05M499,0.406,2009-2010
3394,05M499,0.467,2011-2012
3395,05M499,0.53,2012-2013
3396,05M499,0.44488978,2014-2015
3397,05M499,0.57114226,2014-2015
3398,05M499,0.49098197,2015-2016
3399,05M499,0.44689378,2015-2016
3400,05M499,0.48096192,2016-2017
3401,05M499,0.46292585,2016-2017
3402,05M499,0.41082165,2017-2018
3403,05M499,0.5210421,2017-2018
3404,05M499,0.4248497,2018-2019
3405,05M499,0.5531062,2018-2019
3406,05M499,0.5225451,2019-2020
3407,05M499,0.49198398,2020-2021
3408,05M499,0.46142283,2021-2022
3409,05M499,0.4308617,2022-2023
3410,05M499,0.58316636,2022-2023
3411,05M499,0.501002,2023-2024
3412,05M499,0.51102203,2023-2024
3413,05M514,0.42685372,2014-2015
3414,05M514,0.501002,2015-2016
3415,05M514,0.44689378,2016-2017
3416,05M514,0.5591182,2017-2018
3417,05M514,0.3687375,2018-2019
3418,05M514,0.40781564,2019-2020
3419,05M514,0.44689378,2020-2021
3420,05M514,0.48597196,2021-2022
3421,05M514,0.5250501,2022-2023
3422,05M514,0.49098197,2023-2024
3423,05M517,,2015-2016
3424,05M517,0.39679357,2016-2017
3425,05M517,0.7034068,2017-2018
3426,05M517,0.6753507,2018-2019
3427,05M517,0.6382766,2019-2020
3428,05M517,0.6012024,2020-2021
3429,05M517,0.5641283,2021-2022
3430,05M517,0.52705413,2022-2023
3431,05M517,0.56513023,2023-2024
3432,05M670,0.4904,2006-2007
3433,05M670,0.5784,2006-2007
3434,05M670,0.241,2007-2008
3435,05M670,0.613,2007-2008
3436,05M670,0.591,2008-2009
3437,05M670,0.631,2009-2010
3438,05M670,0.598,2011-2012
3439,05M670,0.587,2012-2013
3440,05M670,0.47094187,2014-2015
3441,05M670,0.64128256,2014-2015
3442,05M670,0.6252505,2015-2016
3443,05M670,0.52705413,2015-2016
3444,05M670,0.43887776,2016-2017
3445,05M670,0.53306615,2016-2017
3446,05M670,0.36472946,2017-2018
3447,05M670,0.4488978,2017-2018
3448,05M670,0.31863728,2018-2019
3449,05M670,0.5450902,2018-2019
3450,05M670,0.5450902,2019-2020
3451,05M670,0.5450902,2020-2021
3452,05M670,0.5450902,2021-2022
3453,05M670,0.5450902,2022-2023
3454,05M670,0.6232465,2022-2023
3455,05M670,0.6673347,2023-2024
3456,05M670,0.5511022,2023-2024
3457,05M685,0.503,2006-2007
3458,05M685,0.46,2007-2008
3459,05M685,0.513,2008-2009
3460,05M685,0.43,2009-2010
3461,05M685,0.307,2011-2012
3462,05M685,,2012-2013
3463,05M685,,2014-2015
3464,05M685,,2015-2016
3465,05M685,0.307,2019-2020
3466,05M685,0.307,2020-2021
3467,05M685,0.307,2021-2022
3468,05M692,0.82,2008-2009
3469,05M692,0.762,2009-2010
3470,05M692,0.796,2011-2012
3471,05M692,0.837,2012-2013
3472,05M692,0.90380764,2014-2015
3473,05M692,0.9318637,2015-2016
3474,05M692,0.92785573,2016-2017
3475,05M692,0.9198397,2017-2018
3476,05M692,0.9318637,2018-2019
3477,05M692,0.9488978,2019-2020
3478,05M692,0.9659319,2020-2021
3479,05M692,0.98296595,2021-2022
3480,05M692,1.0,2022-2023
3481,05M692,0.9659319,2023-2024
3482,06M004,0.948,2008-2009
3483,06M004,0.507,2009-2010
3484,06M004,0.5,2010-2011
3485,06M004,0.517,2011-2012
3486,06M004,0.323,2012-2013
3487,06M004,0.5851703,2014-2015
3488,06M004,0.73547095,2015-2016
3489,06M004,0.46693388,2016-2017
3490,06M004,0.5310621,2017-2018
3491,06M004,0.71142286,2018-2019
3492,06M004,0.6988978,2019-2020
3493,06M004,0.68637276,2020-2021
3494,06M004,0.6738477,2021-2022
3495,06M004,0.66132265,2022-2023
3496,06M004,0.6132265,2023-2024
3497,06M005,0.892,2008-2009
3498,06M005,0.545,2009-2010
3499,06M005,0.395,2010-2011
3500,06M005,0.344,2011-2012
3501,06M005,0.426,2012-2013
3502,06M005,0.5490982,2014-2015
3503,06M005,0.59118235,2015-2016
3504,06M005,0.7334669,2016-2017
3505,06M005,0.68537074,2017-2018
3506,06M005,0.65731466,2018-2019
3507,06M005,0.6067134,2019-2020
3508,06M005,0.55611223,2020-2021
3509,06M005,0.50551105,2021-2022
3510,06M005,0.45490983,2022-2023
3511,06M005,0.51102203,2023-2024
3512,06M008,0.974,2008-2009
3513,06M008,0.608,2009-2010
3514,06M008,0.506,2010-2011
3515,06M008,0.475,2011-2012
3516,06M008,0.573,2012-2013
3517,06M008,0.6292585,2014-2015
3518,06M008,0.46092185,2015-2016
3519,06M008,0.5791583,2016-2017
3520,06M008,0.78356713,2017-2018
3521,06M008,0.7334669,2018-2019
3522,06M008,0.6773547,2019-2020
3523,06M008,0.62124246,2020-2021
3524,06M008,0.56513023,2021-2022
3525,06M008,0.50901806,2022-2023
3526,06M008,0.58717436,2023-2024
3527,06M018,0.61523044,2014-2015
3528,06M018,0.68537074,2015-2016
3529,06M018,0.6533066,2016-2017
3530,06M018,0.496994,2017-2018
3531,06M018,0.48496994,2018-2019
3532,06M018,0.5140281,2019-2020
3533,06M018,0.5430862,2020-2021
3534,06M018,0.57214427,2021-2022
3535,06M018,0.6012024,2022-2023
3536,06M018,0.5751503,2023-2024
3537,06M028,0.991,2008-2009
3538,06M028,0.586,2009-2010
3539,06M028,0.525,2010-2011
3540,06M028,0.591,2011-2012
3541,06M028,0.766,2012-2013
3542,06M028,0.71943885,2014-2015
3543,06M028,0.78557116,2015-2016
3544,06M028,0.65531063,2016-2017
3545,06M028,0.6292585,2017-2018
3546,06M028,0.7274549,2018-2019
3547,06M028,0.6798597,2019-2020
3548,06M028,0.63226455,2020-2021
3549,06M028,0.58466935,2021-2022
3550,06M028,0.53707415,2022-2023
3551,06M028,0.71943885,2023-2024
3552,06M048,1.028,2008-2009
3553,06M048,0.464,2009-2010
3554,06M048,0.74,2010-2011
3555,06M048,0.523,2011-2012
3556,06M048,0.514,2012-2013
3557,06M048,0.6272545,2014-2015
3558,06M048,0.58116233,2015-2016
3559,06M048,0.47895792,2016-2017
3560,06M048,0.56112224,2017-2018
3561,06M048,0.6633267,2018-2019
3562,06M048,0.6182365,2019-2020
3563,06M048,0.5731463,2020-2021
3564,06M048,0.5280561,2021-2022
3565,06M048,0.48296595,2022-2023
3566,06M048,0.53707415,2023-2024
3567,06M052,0.574,2006-2007
3568,06M052,0.571,2007-2008
3569,06M052,0.6192385,2014-2015
3570,06M052,0.7134268,2015-2016
3571,06M052,0.71943885,2016-2017
3572,06M052,0.741483,2017-2018
3573,06M052,0.58717436,2018-2019
3574,06M052,0.60470945,2019-2020
3575,06M052,0.6222445,2020-2021
3576,06M052,0.63977957,2021-2022
3577,06M052,0.65731466,2022-2023
3578,06M052,0.6092184,2023-2024
3579,06M098,0.772,2008-2009
3580,06M098,0.482,2009-2010
3581,06M098,0.346,2010-2011
3582,06M098,0.565,2011-2012
3583,06M098,0.522,2012-2013
3584,06M098,0.54108214,2014-2015
3585,06M098,0.42685372,2015-2016
3586,06M098,0.39078155,2016-2017
3587,06M098,0.58316636,2017-2018
3588,06M098,0.70941883,2018-2019
3589,06M098,0.6988978,2019-2020
3590,06M098,0.6883767,2020-2021
3591,06M098,0.67785573,2021-2022
3592,06M098,0.6673347,2022-2023
3593,06M098,0.5150301,2023-2024
3594,06M103,,2017-2018
3595,06M103,0.501002,2018-2019
3596,06M103,0.5450902,2019-2020
3597,06M103,0.5891784,2020-2021
3598,06M103,0.6332665,2021-2022
3599,06M103,0.6773547,2022-2023
3600,06M103,0.6833667,2023-2024
3601,06M115,0.771,2008-2009
3602,06M115,0.093,2009-2010
3603,06M115,0.29,2010-2011
3604,06M115,0.416,2011-2012
3605,06M115,0.404,2012-2013
3606,06M115,0.6272545,2014-2015
3607,06M115,0.5210421,2015-2016
3608,06M115,0.56713426,2016-2017
3609,06M115,0.5210421,2017-2018
3610,06M115,0.51703405,2018-2019
3611,06M115,0.5495992,2019-2020
3612,06M115,0.58216435,2020-2021
3613,06M115,0.61472946,2021-2022
3614,06M115,0.6472946,2022-2023
3615,06M115,0.5951904,2023-2024
3616,06M128,0.872,2008-2009
3617,06M128,0.488,2009-2010
3618,06M128,0.43,2010-2011
3619,06M128,0.73,2011-2012
3620,06M128,0.607,2012-2013
3621,06M128,0.5591182,2014-2015
3622,06M128,0.751503,2015-2016
3623,06M128,0.6472946,2016-2017
3624,06M128,0.6032064,2017-2018
3625,06M128,0.7014028,2018-2019
3626,06M128,0.68136275,2019-2020
3627,06M128,0.66132265,2020-2021
3628,06M128,0.64128256,2021-2022
3629,06M128,0.62124246,2022-2023
3630,06M128,0.6232465,2023-2024
3631,06M132,0.855,2008-2009
3632,06M132,0.453,2009-2010
3633,06M132,0.228,2010-2011
3634,06M132,0.356,2011-2012
3635,06M132,0.373,2012-2013
3636,06M132,0.68937874,2014-2015
3637,06M132,0.63126254,2015-2016
3638,06M132,0.52705413,2016-2017
3639,06M132,0.6873748,2017-2018
3640,06M132,0.64529055,2018-2019
3641,06M132,0.6082164,2019-2020
3642,06M132,0.57114226,2020-2021
3643,06M132,0.5340681,2021-2022
3644,06M132,0.496994,2022-2023
3645,06M132,0.7995992,2023-2024
3646,06M143,0.4801,2006-2007
3647,06M143,0.596,2007-2008
3648,06M143,0.6132265,2014-2015
3649,06M143,0.5731463,2015-2016
3650,06M143,0.62124246,2016-2017
3651,06M143,0.6513026,2017-2018
3652,06M143,0.71142286,2018-2019
3653,06M143,0.70541084,2019-2020
3654,06M143,0.6993988,2020-2021
3655,06M143,0.6933868,2021-2022
3656,06M143,0.6873748,2022-2023
3657,06M143,0.6753507,2023-2024
3658,06M152,0.817,2008-2009
3659,06M152,0.414,2009-2010
3660,06M152,0.313,2010-2011
3661,06M152,0.4,2011-2012
