,dbn,score,year
160,01M188,0.6032064,2016-2017
161,01M188,0.90981966,2017-2018
162,01M188,0.68136275,2018-2019
163,01M188,0.73998,2019-2020
164,01M188,0.7985972,2020-2021
165,01M188,0.85721445,2021-2022
166,01M188,0.9158317,2022-2023
167,01M188,0.75951904,2023-2024
168,01M292,0.5381,2006-2007
169,01M292,0.435,2007-2008
170,01M292,0.552,2007-2008
171,01M292,0.639,2008-2009
172,01M292,0.4,2009-2010
173,01M292,0.506,2011-2012
174,01M292,0.423,2012-2013
175,01M292,0.4749499,2014-2015
176,01M292,0.6693387,2014-2015
177,01M292,,2015-2016
178,01M292,0.5350701,2015-2016
179,01M292,0.74549097,2016-2017
180,01M292,0.7294589,2017-2018
181,01M292,0.77955914,2018-2019
182,01M292,0.75801605,2019-2020
183,01M292,0.73647296,2020-2021
184,01M292,0.7149299,2021-2022
185,01M292,0.6933868,2022-2023
186,01M292,0.7034068,2023-2024
187,01M301,0.5935,2006-2007
188,01M301,0.482,2007-2008
189,01M301,0.64529055,2014-2015
190,01M301,0.61523044,2015-2016
191,01M301,0.62124246,2016-2017
192,01M301,,2017-2018
193,01M301,0.62124246,2019-2020
194,01M301,0.62124246,2020-2021
195,01M301,0.62124246,2021-2022
196,01M315,0.808,2008-2009
197,01M315,0.228,2009-2010
198,01M315,0.382,2010-2011
199,01M315,0.613,2011-2012
200,01M315,0.602,2012-2013
201,01M315,0.6012024,2014-2015
202,01M315,0.76352704,2015-2016
203,01M315,0.57114226,2016-2017
204,01M315,0.63727456,2017-2018
205,01M315,0.6633267,2018-2019
206,01M315,0.6843687,2019-2020
207,01M315,0.70541084,2020-2021
208,01M315,0.7264529,2021-2022
209,01M315,0.747495,2022-2023
210,01M315,0.70941883,2023-2024
211,01M332,0.4893,2006-2007
212,01M332,0.581,2007-2008
213,01M332,0.6092184,2014-2015
214,01M332,0.5430862,2015-2016
215,01M332,0.52705413,2016-2017
216,01M332,0.50300604,2017-2018
217,01M332,0.46893787,2018-2019
218,01M332,0.508517,2019-2020
219,01M332,0.5480962,2020-2021
220,01M332,0.58767533,2021-2022
221,01M332,0.6272545,2022-2023
222,01M332,0.7034068,2023-2024
223,01M345,0.624,2007-2008
224,01M345,0.70941883,2014-2015
225,01M345,,2015-2016
226,01M345,0.70941883,2019-2020
227,01M345,0.70941883,2020-2021
228,01M345,0.70941883,2021-2022
229,01M361,0.672,2008-2009
230,01M361,0.343,2009-2010
231,01M361,0.42,2010-2011
232,01M361,0.383,2011-2012
233,01M361,0.509,2012-2013
234,01M361,0.73547095,2014-2015
235,01M361,0.73146296,2015-2016
236,01M361,0.751503,2016-2017
237,01M361,0.73146296,2017-2018
238,01M361,0.5150301,2018-2019
239,01M361,0.5255511,2019-2020
240,01M361,0.53607213,2020-2021
241,01M361,0.5465932,2021-2022
242,01M361,0.55711424,2022-2023
243,01M361,0.5691383,2023-2024
244,01M363,0.633,2008-2009
245,01M363,0.331,2009-2010
246,01M363,0.27,2010-2011
247,01M363,0.349,2011-2012
248,01M363,0.368,2012-2013
249,01M363,0.49499,2014-2015
250,01M363,0.49098197,2015-2016
251,01M363,,2016-2017
252,01M363,,2017-2018
253,01M363,,2018-2019
254,01M363,0.49098197,2019-2020
255,01M363,0.49098197,2020-2021
256,01M363,0.49098197,2021-2022
257,01M363,,2022-2023
258,01M363,,2023-2024
259,01M364,0.591,2008-2009
260,01M364,0.22,2009-2010
261,01M364,0.314,2010-2011
262,01M364,0.48,2011-2012
263,01M364,0.462,2012-2013
264,01M364,0.73146296,2014-2015
265,01M364,0.79358715,2015-2016
266,01M364,0.56312627,2016-2017
267,01M364,0.36272544,2017-2018
268,01M364,,2018-2019
269,01M364,0.38744155,2019-2020
270,01M364,0.3997996,2020-2021
271,01M364,0.41215765,2021-2022
272,01M364,,2022-2023
273,01M364,0.43687373,2023-2024
274,01M378,0.81963927,2014-2015
275,01M378,0.8316633,2015-2016
276,01M378,0.6593186,2016-2017
277,01M378,0.6252505,2017-2018
278,01M378,0.61122245,2018-2019
279,01M378,0.64128256,2019-2020
280,01M378,0.6713427,2020-2021
281,01M378,0.7014028,2021-2022
282,01M378,0.73146296,2022-2023
283,01M378,0.6092184,2023-2024
284,01M448,0.4883,2006-2007
285,01M448,0.443,2007-2008
286,01M448,0.418,2008-2009
287,01M448,0.478,2009-2010
288,01M448,0.677,2011-2012
289,01M448,0.765,2012-2013
290,01M448,0.9018036,2014-2015
291,01M448,0.8256513,2015-2016
292,01M448,0.8917836,2016-2017
293,01M448,0.7995992,2017-2018
294,01M448,0.8236473,2018-2019
295,01M448,0.8326653,2019-2020
296,01M448,0.8416834,2020-2021
297,01M448,0.8507014,2021-2022
298,01M448,0.85971946,2022-2023
299,01M448,0.9559118,2023-2024
300,01M450,0.6929,2006-2007
301,01M450,0.7133,2006-2007
302,01M450,0.765,2007-2008
303,01M450,0.683,2007-2008
304,01M450,0.797,2008-2009
305,01M450,0.84,2009-2010
306,01M450,0.736,2011-2012
