,community_board,year,rent
624,Bronx Community Board 8,2009,1195.9954
625,Brooklyn Community Board 9,2009,1078.741
626,Manhattan Community Board 12,2009,1078.741
627,Brooklyn Community Board 16,2009,881.25977
628,Bronx Community Board 1,2009,771.4108
629,Manhattan Community Board 5,2008,1806.268
630,Queens Community Board 11,2008,1509.9756
631,Staten Island Community Board 1,2008,1155.4164
632,Brooklyn Community Board 15,2008,1085.9923
633,Bronx Community Board 7,2008,1048.8008
634,Bronx Community Board 5,2008,958.3014
635,Manhattan Community Board 5,2007,1751.7057
636,Brooklyn Community Board 7,2007,1141.1847
637,Bronx Community Board 4,2007,941.5418
638,Bronx Community Board 1,2007,708.4104
639,Manhattan Community Board 2,2006,2239.621
640,Queens Community Board 4,2006,1332.3824
641,Brooklyn Community Board 14,2006,1107.2284
642,Manhattan Community Board 3,2006,948.2961
643,Brooklyn Community Board 4,2006,966.8382
644,Queens Community Board 13,2013,1421.4935
645,Brooklyn Community Board 11,2007,1139.8967
646,Manhattan Community Board 2,2018,2743.1345
647,Brooklyn Community Board 12,2009,1209.5723
648,Bronx Community Board 3,2008,834.32965
649,Brooklyn Community Board 17,2017,1284.5134
650,Queens Community Board 6,2006,1414.4976
651,Queens Community Board 4,2013,1401.0077
652,Manhattan Community Board 1,2011,2359.9658
653,Bronx Community Board 11,2019,1352.4178
654,Queens Community Board 3,2015,1455.0195
655,Bronx Community Board 12,2010,1124.9705
656,Manhattan Community Board 7,2008,1739.3232
657,Brooklyn Community Board 16,2006,770.8217
658,Brooklyn Community Board 13,2015,1079.205
659,Staten Island Community Board 1,2009,1097.2548
660,Bronx Community Board 6,2009,897.3051
661,Manhattan Community Board 2,2016,2712.5417
662,Brooklyn Community Board 3,2013,1037.952
663,Queens Community Board 9,2006,1335.0314
664,Bronx Community Board 6,2017,998.2193
665,Queens Community Board 14,2012,1064.6537
666,Queens Community Board 10,2008,1363.689
667,Queens Community Board 3,2012,1373.6348
668,Bronx Community Board 8,2018,1318.1573
669,Brooklyn Community Board 9,2022,1162.372
670,Brooklyn Community Board 6,2022,2009.7041
671,Queens Community Board 2,2022,1470.2863
672,Brooklyn Community Board 7,2022,1290.6819
673,Manhattan Community Board 7,2022,2030.5939
674,Brooklyn Community Board 10,2022,1418.366
675,Queens Community Board 1,2023,1663.8987
676,Manhattan Community Board 1,2023,2528.1777
677,Brooklyn Community Board 8,2023,1116.7356
678,Brooklyn Community Board 14,2023,1269.6143
679,Manhattan Community Board 9,2023,1186.7755
680,Manhattan Community Board 4,2022,1905.1533
681,Manhattan Community Board 2,2024,2519.996
682,Bronx Community Board 9,2020,1056.1086
683,Queens Community Board 11,2020,1636.5316
684,Bronx Community Board 4,2020,1004.41266
685,Brooklyn Community Board 6,2024,2185.4592
686,Brooklyn Community Board 5,2024,1166.438
687,Brooklyn Community Board 4,2024,1097.3308
688,Manhattan Community Board 6,2024,2194.2412
689,Manhattan Community Board 6,2020,2106.3408
690,Brooklyn Community Board 9,2024,1246.0028
691,Manhattan Community Board 11,2020,995.6111
692,Queens Community Board 7,2024,1492.7085
693,Brooklyn Community Board 15,2020,1099.2377
694,Brooklyn Community Board 8,2020,1096.504
695,Bronx Community Board 10,2020,1245.5063
696,Queens Community Board 14,2020,1072.3145
697,Manhattan Community Board 4,2020,1737.0767
698,Queens Community Board 5,2021,1667.0
699,Brooklyn Community Board 3,2021,1720.0
700,Brooklyn Community Board 14,2021,1432.0
701,Queens Community Board 3,2021,1596.0
702,Manhattan Community Board 4,2021,1569.0
703,Manhattan Community Board 10,2021,1140.0
704,Manhattan Community Board 11,2021,1079.0
705,Bronx Community Board 7,2021,1310.0
706,Brooklyn Community Board 6,2019,2361.2144
707,Queens Community Board 1,2019,1782.2073
708,Queens Community Board 5,2019,1688.6833
709,Queens Community Board 12,2019,1275.7073
710,Brooklyn Community Board 3,2019,1406.0101
711,Brooklyn Community Board 12,2019,1547.8722
712,Brooklyn Community Board 5,2019,1188.4884
713,Bronx Community Board 7,2019,1256.7924
714,Bronx Community Board 1,2019,895.30695
715,Manhattan Community Board 4,2018,2178.0574
716,Bronx Community Board 5,2018,1139.7682
717,Bronx Community Board 6,2018,1007.3115
718,Bronx Community Board 1,2018,889.80963
719,Bronx Community Board 10,2017,1224.642
720,Brooklyn Community Board 7,2017,1440.179
721,Queens Community Board 5,2016,1522.7526
722,Queens Community Board 12,2016,1267.4806
723,Queens Community Board 7,2016,1568.2576
724,Brooklyn Community Board 6,2015,2208.8926
725,Staten Island Community Board 2,2015,1251.9675
726,Brooklyn Community Board 18,2015,1317.0339
727,Brooklyn Community Board 17,2015,1257.5767
728,Brooklyn Community Board 11,2015,1284.5007
729,Manhattan Community Board 3,2015,1109.4945
730,Bronx Community Board 6,2015,958.0468
731,Queens Community Board 7,2014,1415.2933
732,Bronx Community Board 6,2014,900.84546
733,Manhattan Community Board 4,2013,2276.2107
734,Queens Community Board 2,2013,1505.7134
735,Brooklyn Community Board 17,2013,1251.9159
736,Manhattan Community Board 12,2013,1135.8291
737,Manhattan Community Board 8,2012,2165.1816
738,Brooklyn Community Board 6,2012,1883.9742
739,Queens Community Board 13,2012,1416.4524
740,Bronx Community Board 8,2012,1237.0814
741,Brooklyn Community Board 10,2012,1326.1882
742,Bronx Community Board 10,2012,1094.7418
743,Queens Community Board 5,2012,1303.0436
744,Brooklyn Community Board 14,2012,1237.0814
745,Brooklyn Community Board 4,2012,1227.8235
746,Brooklyn Community Board 5,2012,1079.6978
747,Manhattan Community Board 5,2011,2073.23
748,Manhattan Community Board 11,2011,857.84753
749,Bronx Community Board 3,2011,879.0873
750,Bronx Community Board 2,2011,776.4287
751,Brooklyn Community Board 6,2010,1902.8627
752,Queens Community Board 9,2010,1366.469
753,Bronx Community Board 10,2010,1154.096
754,Brooklyn Community Board 14,2010,1179.5807
755,Brooklyn Community Board 1,2010,1182.0078
756,Brooklyn Community Board 14,2009,1149.0936
757,Brooklyn Community Board 13,2009,970.1263
758,Brooklyn Community Board 3,2009,1014.5596
759,Staten Island Community Board 3,2008,1186.4093
760,Brooklyn Community Board 6,2008,1699.6522
761,Queens Community Board 2,2008,1309.1414
762,Queens Community Board 1,2008,1309.1414
763,Bronx Community Board 9,2008,1030.205
764,Manhattan Community Board 12,2008,1021.527
765,Manhattan Community Board 9,2008,1113.266
766,Manhattan Community Board 2,2007,2327.4502
767,Bronx Community Board 8,2007,1120.5764
768,Bronx Community Board 9,2007,1008.5188
769,Manhattan Community Board 3,2007,878.42883
770,Manhattan Community Board 10,2007,829.48413
771,Manhattan Community Board 4,2006,1791.9618
772,Bronx Community Board 11,2006,1031.7356
773,Manhattan Community Board 12,2006,968.16266
774,Brooklyn Community Board 3,2006,844.9901
775,Bronx Community Board 2,2006,712.5465
776,Queens Community Board 14,2009,1079.9752
777,Brooklyn Community Board 12,2021,1515.0
778,Manhattan Community Board 5,2018,2178.0574
779,Manhattan Community Board 7,2016,2321.8645
780,Queens Community Board 8,2015,1539.1572
781,Bronx Community Board 11,2014,1225.4642
782,Manhattan Community Board 5,2013,2276.2107
783,Queens Community Board 2,2012,1493.9869
784,Staten Island Community Board 3,2010,1274.2384
785,Bronx Community Board 3,2010,871.3363
786,Bronx Community Board 6,2010,871.3363
787,Brooklyn Community Board 5,2009,1098.489
788,Queens Community Board 13,2008,1390.9626
789,Queens Community Board 6,2008,1464.106
790,Manhattan Community Board 6,2006,2018.4403
791,Queens Community Board 14,2006,997.30023
792,Staten Island Community Board 1,2021,1279.0
793,Manhattan Community Board 1,2017,2696.3896
794,Brooklyn Community Board 3,2012,1094.7418
795,Manhattan Community Board 7,2011,2083.8499
796,Brooklyn Community Board 6,2011,1931.632
797,Brooklyn Community Board 4,2009,1166.3732
798,Manhattan Community Board 1,2008,2325.7095
799,Queens Community Board 12,2006,1121.7972
800,Queens Community Board 5,2010,1376.1775
801,Brooklyn Community Board 5,2018,1224.1559
802,Brooklyn Community Board 8,2009,1076.2725
803,Brooklyn Community Board 6,2009,1932.847
804,Brooklyn Community Board 3,2014,1087.3047
805,Queens Community Board 1,2013,1476.1226
806,Brooklyn Community Board 2,2011,1523.3579
807,Brooklyn Community Board 17,2011,1165.8231
808,Bronx Community Board 5,2019,1163.2686
809,Queens Community Board 8,2010,1366.469
810,Brooklyn Community Board 16,2018,968.8563
811,Bronx Community Board 7,2022,1212.4855
812,Bronx Community Board 4,2022,1067.2836
813,Queens Community Board 8,2022,1330.4441
814,Brooklyn Community Board 15,2022,1112.4832
815,Queens Community Board 4,2022,1426.1166
816,Bronx Community Board 9,2022,1064.1613
817,Queens Community Board 11,2023,1763.0878
818,Manhattan Community Board 10,2023,825.0885
819,Manhattan Community Board 11,2023,844.00256
820,Manhattan Community Board 2,2023,2377.2854
821,Brooklyn Community Board 7,2023,1372.7686
822,Queens Community Board 4,2020,1451.2256
823,Bronx Community Board 11,2020,1187.4753
824,Manhattan Community Board 12,2020,1112.1866
825,Bronx Community Board 12,2020,1156.1454
826,Queens Community Board 8,2020,1294.4193
827,Queens Community Board 12,2020,1204.2708
828,Queens Community Board 13,2020,1457.1072
829,Manhattan Community Board 9,2024,1189.8184
830,Brooklyn Community Board 5,2020,1200.8616
831,Staten Island Community Board 2,2024,1242.4954
832,Brooklyn Community Board 18,2024,1292.7578
833,Manhattan Community Board 3,2020,933.7212
834,Bronx Community Board 3,2024,914.6915
835,Brooklyn Community Board 16,2024,969.92816
836,Queens Community Board 9,2021,1643.0
837,Brooklyn Community Board 16,2021,971.0
838,Queens Community Board 6,2019,1799.0205
839,Queens Community Board 14,2019,1250.4874
840,Brooklyn Community Board 6,2018,2198.3533
841,Queens Community Board 13,2018,1523.2516
842,Queens Community Board 11,2018,1889.6438
843,Queens Community Board 9,2018,1646.0944
844,Queens Community Board 2,2018,1757.1871
845,Queens Community Board 3,2018,1552.0929
846,Bronx Community Board 4,2018,1130.1544
847,Manhattan Community Board 12,2017,1256.2106
848,Brooklyn Community Board 12,2017,1374.8647
849,Manhattan Community Board 4,2016,2415.0945
850,Queens Community Board 9,2016,1520.5327
851,Manhattan Community Board 9,2016,1266.3707
852,Queens Community Board 14,2016,1094.3396
853,Manhattan Community Board 1,2015,2852.8257
854,Brooklyn Community Board 10,2015,1429.2174
855,Queens Community Board 12,2015,1286.7444
856,Queens Community Board 1,2015,1585.1523
857,Bronx Community Board 10,2015,1108.3727
858,Queens Community Board 7,2015,1469.6034
859,Queens Community Board 4,2015,1476.3345
860,Manhattan Community Board 11,2015,830.15765
861,Bronx Community Board 3,2015,958.0468
862,Manhattan Community Board 8,2014,2246.4973
863,Brooklyn Community Board 6,2014,2145.405
864,Staten Island Community Board 3,2014,1222.0946
865,Brooklyn Community Board 8,2014,1191.7668
866,Bronx Community Board 7,2014,1168.1786
867,Bronx Community Board 2,2014,822.218
868,Staten Island Community Board 1,2013,1081.2001
869,Bronx Community Board 8,2013,1297.4401
870,Queens Community Board 5,2013,1300.8544
871,Brooklyn Community Board 11,2013,1238.2585
872,Queens Community Board 14,2013,1142.6577
873,Brooklyn Community Board 4,2013,1255.3302
874,Bronx Community Board 11,2013,1149.4863
875,Manhattan Community Board 3,2013,989.0135
876,Brooklyn Community Board 13,2013,985.5992
877,Staten Island Community Board 3,2012,1240.5531
878,Brooklyn Community Board 7,2012,1305.358
879,Bronx Community Board 12,2012,1187.3203
880,Bronx Community Board 4,2012,1004.47766
881,Manhattan Community Board 8,2011,2147.5688
882,Manhattan Community Board 6,2011,2330.4663
883,Brooklyn Community Board 18,2011,1268.4816
884,Bronx Community Board 8,2011,1234.2621
885,Bronx Community Board 10,2011,1159.9232
886,Brooklyn Community Board 8,2011,1123.3438
887,Manhattan Community Board 12,2011,1129.2437
888,Bronx Community Board 9,2011,1119.8037
889,Brooklyn Community Board 13,2011,982.9257
890,Manhattan Community Board 2,2010,2427.1206
891,Manhattan Community Board 4,2010,1898.0084
892,Brooklyn Community Board 2,2010,1594.6183
893,Staten Island Community Board 1,2010,1249.9672
894,Queens Community Board 1,2010,1415.0114
895,Brooklyn Community Board 16,2010,890.7533
896,Bronx Community Board 5,2010,1048.5161
897,Manhattan Community Board 1,2009,2425.3157
898,Manhattan Community Board 5,2009,2004.434
899,Staten Island Community Board 2,2009,1233.0231
900,Brooklyn Community Board 1,2009,1183.6528
901,Bronx Community Board 5,2009,1003.45123
902,Brooklyn Community Board 18,2008,1244.676
903,Bronx Community Board 8,2008,1175.252
904,Queens Community Board 14,2008,1028.9652
905,Brooklyn Community Board 8,2008,1063.6774
906,Staten Island Community Board 3,2007,1221.0419
907,Brooklyn Community Board 6,2007,1532.7424
908,Queens Community Board 8,2007,1258.3944
909,Queens Community Board 2,2007,1378.1802
910,Brooklyn Community Board 15,2007,1125.7285
911,Bronx Community Board 11,2007,1151.4889
912,Bronx Community Board 6,2007,843.65234
913,Queens Community Board 13,2006,1418.4708
914,Bronx Community Board 12,2006,1091.3352
915,Brooklyn Community Board 15,2006,1087.3618
916,Brooklyn Community Board 14,2011,1228.3622
917,Brooklyn Community Board 17,2018,1313.8845
918,Queens Community Board 6,2016,1658.1576
919,Brooklyn Community Board 8,2016,1357.3807
920,Queens Community Board 6,2011,1538.6976
921,Brooklyn Community Board 10,2010,1319.1401
922,Manhattan Community Board 8,2009,2105.643
923,Brooklyn Community Board 10,2018,1457.0232
924,Brooklyn Community Board 10,2017,1461.9504
925,Bronx Community Board 5,2017,1126.6707
926,Manhattan Community Board 6,2016,2723.6404
927,Brooklyn Community Board 16,2014,977.2263
928,Bronx Community Board 5,2014,1062.5933
929,Brooklyn Community Board 10,2013,1337.2737
930,Brooklyn Community Board 4,2007,1023.975
931,Brooklyn Community Board 16,2007,784.4035
932,Bronx Community Board 5,2007,949.2699
933,Brooklyn Community Board 17,2007,1112.8483
934,Queens Community Board 12,2011,1231.9021
935,Queens Community Board 7,2010,1451.4182
936,Brooklyn Community Board 8,2007,1004.6547
937,Bronx Community Board 12,2014,1222.0946
938,Bronx Community Board 3,2007,843.65234
939,Manhattan Community Board 10,2008,820.6928
940,Brooklyn Community Board 6,2016,2118.757
941,Manhattan Community Board 9,2015,1317.0339
942,Brooklyn Community Board 18,2019,1388.1461
943,Brooklyn Community Board 8,2022,1255.7722
944,Brooklyn Community Board 5,2022,1177.5674
945,Brooklyn Community Board 2,2022,1702.3685
946,Queens Community Board 6,2022,1679.9883
947,Bronx Community Board 5,2022,1037.343
948,Brooklyn Community Board 16,2022,784.4035
949,Staten Island Community Board 2,2022,1190.4916
950,Queens Community Board 11,2022,1810.5266
951,Queens Community Board 9,2022,1475.3799
952,Brooklyn Community Board 10,2023,1396.5157
953,Brooklyn Community Board 18,2023,1448.073
954,Manhattan Community Board 3,2023,1006.78625
955,Bronx Community Board 1,2023,833.11914
956,Queens Community Board 5,2023,1325.4996
957,Staten Island Community Board 3,2023,1221.0419
958,Queens Community Board 10,2023,1390.3082
959,Brooklyn Community Board 16,2020,784.4035
960,Brooklyn Community Board 12,2024,1352.4673
961,Bronx Community Board 2,2024,856.0138
962,Queens Community Board 1,2020,1560.5056
963,Bronx Community Board 8,2020,1146.5378
964,Staten Island Community Board 3,2020,1221.0419
965,Queens Community Board 13,2024,1487.5635
966,Bronx Community Board 12,2024,1256.2568
967,Manhattan Community Board 10,2020,942.11316
968,Queens Community Board 9,2020,1430.227
969,Staten Island Community Board 3,2024,1221.0419
970,Brooklyn Community Board 2,2020,1810.1188
971,Brooklyn Community Board 10,2024,1455.7579
972,Brooklyn Community Board 6,2020,2118.757
973,Brooklyn Community Board 12,2020,1330.07
974,Queens Community Board 4,2024,1450.3069
975,Bronx Community Board 4,2024,1064.9581
976,Manhattan Community Board 8,2024,2252.9429
977,Manhattan Community Board 6,2021,2360.0
978,Brooklyn Community Board 18,2021,1508.0
979,Brooklyn Community Board 10,2021,1515.0
980,Queens Community Board 1,2021,1706.0
981,Brooklyn Community Board 7,2021,1516.0
982,Brooklyn Community Board 11,2021,1424.0
983,Brooklyn Community Board 13,2021,1118.0
984,Manhattan Community Board 5,2021,786.0
985,Manhattan Community Board 2,2019,2879.2734
986,Staten Island Community Board 1,2019,1161.1669
987,Brooklyn Community Board 15,2019,1414.4169
988,Bronx Community Board 12,2019,1290.419
989,Manhattan Community Board 3,2019,1024.559
990,Bronx Community Board 4,2019,1125.4386
991,Manhattan Community Board 11,2019,915.2727
992,Manhattan Community Board 7,2018,2322.2644
993,Manhattan Community Board 8,2018,2400.243
994,Queens Community Board 6,2018,1821.279
995,Queens Community Board 12,2018,1298.9298
996,Queens Community Board 14,2018,1243.3834
997,Brooklyn Community Board 3,2018,1381.1812
998,Brooklyn Community Board 11,2018,1404.6815
999,Brooklyn Community Board 13,2018,1156.8594
1000,Bronx Community Board 2,2018,889.80963
1001,Manhattan Community Board 4,2017,2211.9756
1002,Manhattan Community Board 5,2017,2211.9756
1003,Queens Community Board 13,2017,1556.6561
1004,Brooklyn Community Board 18,2017,1390.1047
1005,Manhattan Community Board 10,2017,1063.5336
1006,Bronx Community Board 11,2017,1276.8934
1007,Bronx Community Board 3,2017,998.2193
1008,Brooklyn Community Board 2,2016,1917.869
1009,Queens Community Board 11,2016,1731.4095
1010,Queens Community Board 1,2016,1613.7625
1011,Brooklyn Community Board 7,2016,1417.3141
1012,Manhattan Community Board 12,2016,1317.425
1013,Brooklyn Community Board 3,2016,1296.3374
1014,Brooklyn Community Board 11,2016,1350.7214
1015,Brooklyn Community Board 9,2016,1329.6338
1016,Brooklyn Community Board 14,2016,1315.2053
1017,Brooklyn Community Board 5,2016,1154.2731
1018,Bronx Community Board 4,2016,1085.4606
1019,Bronx Community Board 5,2016,1125.4163
1020,Bronx Community Board 6,2016,968.9234
1021,Manhattan Community Board 2,2015,2852.8257
1022,Brooklyn Community Board 15,2015,1338.3488
1023,Manhattan Community Board 10,2015,1083.6923
1024,Brooklyn Community Board 3,2015,1226.1653
1025,Bronx Community Board 4,2015,1091.5452
1026,Staten Island Community Board 2,2014,1147.9601
1027,Queens Community Board 5,2014,1350.1449
1028,Bronx Community Board 10,2014,1177.1646
1029,Queens Community Board 4,2014,1424.2793
1030,Brooklyn Community Board 9,2014,1283.8732
1031,Brooklyn Community Board 13,2014,913.2012
1032,Brooklyn Community Board 2,2013,1602.4523
1033,Queens Community Board 9,2013,1385.0742
1034,Queens Community Board 3,2013,1402.1458
1035,Bronx Community Board 12,2013,1223.4633
1036,Manhattan Community Board 11,2013,909.3461
1037,Bronx Community Board 4,2013,1077.7858
1038,Manhattan Community Board 7,2012,1843.4711
1039,Bronx Community Board 11,2012,1187.3203
1040,Brooklyn Community Board 12,2012,1307.6725
1041,Manhattan Community Board 10,2012,943.14435
1042,Bronx Community Board 11,2011,1167.003
1043,Bronx Community Board 5,2011,986.4657
1044,Bronx Community Board 4,2011,998.2655
1045,Bronx Community Board 1,2011,776.4287
1046,Brooklyn Community Board 7,2010,1291.2281
1047,Brooklyn Community Board 3,2010,1055.7975
1048,Manhattan Community Board 11,2010,873.7634
1049,Queens Community Board 10,2009,1416.9275
1050,Queens Community Board 2,2009,1403.3506
1051,Bronx Community Board 12,2009,1172.5444
1052,Manhattan Community Board 10,2009,820.7811
1053,Bronx Community Board 3,2009,897.3051
1054,Brooklyn Community Board 2,2008,1234.7583
1055,Queens Community Board 5,2008,1266.991
1056,Queens Community Board 3,2008,1314.1002
1057,Manhattan Community Board 3,2008,887.6375
1058,Queens Community Board 11,2007,1490.2378
1059,Staten Island Community Board 2,2007,1210.7377
1060,Brooklyn Community Board 2,2007,1297.035
1061,Staten Island Community Board 1,2007,1170.8091
1062,Queens Community Board 1,2007,1236.4982
1063,Queens Community Board 14,2007,971.1662
1064,Queens Community Board 7,2006,1426.4175
1065,Bronx Community Board 8,2006,1117.8239
1066,Brooklyn Community Board 17,2006,1115.175
1067,Brooklyn Community Board 5,2006,1060.8732
1068,Manhattan Community Board 11,2016,915.6493
1069,Bronx Community Board 5,2013,1018.60425
1070,Bronx Community Board 9,2018,1195.3145
1071,Brooklyn Community Board 15,2018,1399.3405
1072,Manhattan Community Board 2,2021,1840.0
1073,Manhattan Community Board 5,2019,2052.2705
1074,Brooklyn Community Board 8,2019,1506.8898
1075,Queens Community Board 7,2017,1544.6818
1076,Manhattan Community Board 7,2009,2018.0107
1077,Brooklyn Community Board 10,2007,1223.6179
1078,Queens Community Board 4,2007,1281.5787
1079,Queens Community Board 10,2019,1684.4801
1080,Manhattan Community Board 1,2016,2712.5417
1081,Staten Island Community Board 1,2016,1223.0854
1082,Queens Community Board 8,2014,1416.4166
1083,Manhattan Community Board 7,2013,1968.9221
1084,Manhattan Community Board 11,2007,713.56244
1085,Manhattan Community Board 12,2021,1234.0
1086,Brooklyn Community Board 10,2008,1223.6008
1087,Brooklyn Community Board 5,2007,1080.6478
1088,Brooklyn Community Board 1,2015,1689.483
1089,Manhattan Community Board 7,2019,2043.8638
1090,Queens Community Board 2,2016,1651.4983
1091,Brooklyn Community Board 11,2022,1350.7214
1092,Manhattan Community Board 10,2022,820.7811
1093,Manhattan Community Board 11,2022,713.56244
1094,Bronx Community Board 1,2022,776.4287
1095,Staten Island Community Board 3,2022,1221.0419
1096,Brooklyn Community Board 14,2022,1315.2053
1097,Queens Community Board 7,2022,1544.6818
1098,Brooklyn Community Board 13,2022,913.2012
1099,Brooklyn Community Board 9,2023,1283.8732
1100,Bronx Community Board 6,2023,968.9234
1101,Bronx Community Board 8,2023,1117.8239
1102,Staten Island Community Board 2,2023,1210.7377
1103,Queens Community Board 2,2023,1651.4983
1104,Queens Community Board 14,2023,971.1662
1105,Bronx Community Board 10,2023,1177.1646
1106,Queens Community Board 4,2023,1281.5787
1107,Manhattan Community Board 8,2020,2400.243
1108,Bronx Community Board 1,2024,776.4287
1109,Queens Community Board 2,2024,1651.4983
1110,Brooklyn Community Board 15,2024,1399.3405
1111,Staten Island Community Board 1,2024,1223.0854
1112,Brooklyn Community Board 2,2024,1297.035
1113,Brooklyn Community Board 7,2020,1291.2281
1114,Brooklyn Community Board 1,2024,1689.483
1115,Brooklyn Community Board 7,2024,1291.2281
1116,Staten Island Community Board 1,2020,1223.0854
1117,Brooklyn Community Board 4,2020,1023.975
1118,Bronx Community Board 2,2020,889.80963
1119,Bronx Community Board 9,2024,1195.3145
1120,Queens Community Board 11,2024,1490.2378
