,community_board,year,rent
144,Queens Community Board 10,2021,1709.0
145,Staten Island Community Board 2,2021,1398.0
146,Queens Community Board 2,2021,1778.0
147,Queens Community Board 12,2021,1433.0
148,Brooklyn Community Board 15,2021,1440.0
149,Brooklyn Community Board 9,2021,1409.0
150,Bronx Community Board 10,2021,1307.0
151,Bronx Community Board 4,2021,1119.0
152,Queens Community Board 13,2019,1746.479
153,Manhattan Community Board 9,2019,1534.2114
154,Queens Community Board 3,2019,1629.8369
155,Bronx Community Board 10,2019,1213.7084
156,Brooklyn Community Board 13,2019,1084.4563
157,Staten Island Community Board 3,2018,1292.5206
158,Brooklyn Community Board 1,2018,1913.1442
159,Brooklyn Community Board 9,2018,1458.0914
160,Manhattan Community Board 12,2018,1317.0892
161,Bronx Community Board 12,2018,1337.385
162,Brooklyn Community Board 6,2017,2340.427
163,Brooklyn Community Board 2,2017,1986.6415
164,Brooklyn Community Board 1,2017,2016.033
165,Queens Community Board 5,2017,1509.8475
166,Queens Community Board 2,2017,1611.0846
167,Queens Community Board 8,2017,1502.2275
168,Staten Island Community Board 1,2017,1157.1506
169,Bronx Community Board 12,2017,1383.5734
170,Queens Community Board 3,2017,1547.9475
171,Queens Community Board 4,2017,1508.7589
172,Brooklyn Community Board 13,2017,1041.7621
173,Brooklyn Community Board 18,2016,1399.556
174,Manhattan Community Board 10,2016,1026.6371
175,Manhattan Community Board 8,2015,2217.8672
176,Manhattan Community Board 7,2015,1921.7028
177,Staten Island Community Board 1,2015,1184.6575
178,Manhattan Community Board 6,2014,2246.4973
179,Queens Community Board 13,2014,1495.044
180,Brooklyn Community Board 11,2014,1276.0105
181,Brooklyn Community Board 4,2014,1261.4082
182,Manhattan Community Board 6,2013,2276.2107
183,Queens Community Board 11,2013,1630.9049
184,Brooklyn Community Board 1,2013,1346.3785
185,Queens Community Board 12,2013,1282.6447
186,Manhattan Community Board 6,2012,2301.735
187,Staten Island Community Board 2,2012,1099.3707
188,Brooklyn Community Board 1,2012,1415.2952
189,Manhattan Community Board 3,2012,1144.5028
190,Brooklyn Community Board 13,2012,943.14435
191,Bronx Community Board 5,2012,1046.1381
192,Bronx Community Board 3,2012,867.92426
193,Bronx Community Board 1,2012,777.66016
194,Manhattan Community Board 2,2011,2359.9658
195,Staten Island Community Board 3,2011,1216.5624
196,Queens Community Board 8,2011,1345.1805
197,Brooklyn Community Board 15,2011,1185.8828
198,Queens Community Board 6,2010,1473.2622
199,Brooklyn Community Board 15,2010,1149.2417
200,Queens Community Board 4,2010,1388.313
201,Manhattan Community Board 9,2010,1095.845
202,Manhattan Community Board 10,2010,860.4143
203,Bronx Community Board 1,2010,728.1362
204,Brooklyn Community Board 15,2009,1166.3732
205,Bronx Community Board 11,2009,1146.6251
206,Brooklyn Community Board 11,2009,1081.2095
207,Bronx Community Board 7,2009,1061.4613
208,Bronx Community Board 2,2009,771.4108
209,Bronx Community Board 12,2008,1145.4987
210,Brooklyn Community Board 16,2008,802.09705
211,Manhattan Community Board 1,2007,2327.4502
212,Queens Community Board 12,2007,1125.7285
213,Brooklyn Community Board 1,2007,1136.0326
214,Brooklyn Community Board 3,2007,941.5418
215,Brooklyn Community Board 13,2007,910.62933
216,Manhattan Community Board 8,2006,2027.7113
217,Manhattan Community Board 5,2006,1791.9618
218,Brooklyn Community Board 2,2006,1145.6371
219,Bronx Community Board 10,2006,1087.3618
220,Queens Community Board 2,2006,1311.1915
221,Manhattan Community Board 9,2006,932.40283
222,Bronx Community Board 9,2013,1081.2001
223,Bronx Community Board 9,2010,1083.7094
224,Brooklyn Community Board 4,2018,1556.3657
225,Brooklyn Community Board 17,2016,1325.1942
226,Manhattan Community Board 4,2009,2004.434
227,Manhattan Community Board 3,2021,1123.0
228,Queens Community Board 12,2017,1284.5134
229,Bronx Community Board 8,2014,1196.2599
230,Manhattan Community Board 2,2012,2314.4646
231,Manhattan Community Board 9,2009,1171.3102
232,Bronx Community Board 8,2021,1356.0
233,Bronx Community Board 6,2021,504.0
234,Bronx Community Board 9,2019,1183.2343
235,Bronx Community Board 8,2015,1319.2776
236,Bronx Community Board 4,2014,1009.80054
237,Manhattan Community Board 1,2013,2276.2107
238,Queens Community Board 10,2010,1389.5266
239,Bronx Community Board 2,2007,708.4104
240,Queens Community Board 8,2006,1319.1382
241,Manhattan Community Board 11,2006,700.6266
242,Bronx Community Board 11,2018,1313.8845
243,Brooklyn Community Board 4,2019,1671.8701
244,Queens Community Board 6,2009,1471.2347
245,Queens Community Board 3,2009,1374.9626
246,Brooklyn Community Board 5,2008,1094.6703
247,Queens Community Board 6,2012,1509.031
248,Staten Island Community Board 3,2021,1249.0
249,Bronx Community Board 12,2022,1157.4309
250,Brooklyn Community Board 4,2022,1566.9103
251,Brooklyn Community Board 18,2022,1365.8502
252,Bronx Community Board 3,2022,838.5773
253,Bronx Community Board 7,2023,1122.2957
254,Brooklyn Community Board 11,2023,1196.8322
255,Brooklyn Community Board 12,2023,1233.5387
256,Manhattan Community Board 4,2023,2028.3523
257,Brooklyn Community Board 17,2023,1273.8358
258,Brooklyn Community Board 5,2023,1155.3019
259,Brooklyn Community Board 2,2023,1439.4049
260,Queens Community Board 13,2023,1520.4108
261,Brooklyn Community Board 1,2023,1361.4987
262,Manhattan Community Board 6,2023,2449.5322
